bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,,,
14MN12A06R1X,,0000-000015,,,61,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MN12A06R1XFA,,,,,,,,,
14MN12A06R1X,,0000-100011,,,182,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MN12A06R1XSEMEN,,,,,,,,,
14MN12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MN12A06R1XWATER,,,,,,,,,
14MN12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MN12A06R1XAGG1,1,14MN12A06R1XAGG1,236.6,14MN12A06R1XAGG2,946.4,1183,20%,20%,237
14MN12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MN12A06R1XAGG2,1,14MN12A06R1XAGG1,236.6,14MN12A06R1XAGG2,946.4,1183,80%,80%,946
14MN12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MN12A06R1XAGG3,,,,,,,,,
14MN12A06R1X,,0000-100094,,,548,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MN12A06R1XSAND,,,,,,,,,
14MN12A06R1X,,0000-100093,,,140,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MN12A06R1XSTONE DUST,,,,,,,,,
14MN12A06R1X,,0002-100020,,,0.950,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MN12A06R1XSBT CON-M,,,,,,,,,
14MN12A06R1X,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MN12A06R1XSBT PCA-8S,,,,,,,,,
14MN12A06R1X,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MN12A06R1XSBT JM-9,,,,,,,,,
14MN12A06XXX,,0000-000015,,,60,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MN12A06XXXFA,,,,,,,,,
14MN12A06XXX,,0000-100011,,,179,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MN12A06XXXSEMEN,,,,,,,,,
14MN12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MN12A06XXXWATER,,,,,,,,,
14MN12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MN12A06XXXAGG1,1,14MN12A06XXXAGG1,236.6,14MN12A06XXXAGG2,946.4,1183,20%,20%,237
14MN12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MN12A06XXXAGG2,1,14MN12A06XXXAGG1,236.6,14MN12A06XXXAGG2,946.4,1183,80%,80%,946
14MN12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MN12A06XXXAGG3,,,,,,,,,
14MN12A06XXX,,0000-100094,,,556,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MN12A06XXXSAND,,,,,,,,,
14MN12A06XXX,,0000-100093,,,142,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MN12A06XXXSTONE DUST,,,,,,,,,
14MN12A06XXX,,0002-100020,,,0.810,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MN12A06XXXSBT CON-M,,,,,,,,,
14MN12A06XXX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MN12A06XXXSBT PCA-8S,,,,,,,,,
14MN12A06XXX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MN12A06XXXSBT JM-9,,,,,,,,,
14MU12A06R1X,,0000-000015,,,47,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MU12A06R1XFA,,,,,,,,,
14MU12A06R1X,,0000-100011,,,190,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MU12A06R1XSEMEN,,,,,,,,,
14MU12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MU12A06R1XWATER,,,,,,,,,
14MU12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MU12A06R1XAGG1,1,14MU12A06R1XAGG1,236.6,14MU12A06R1XAGG2,946.4,1183,20%,20%,237
14MU12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MU12A06R1XAGG2,1,14MU12A06R1XAGG1,236.6,14MU12A06R1XAGG2,946.4,1183,80%,80%,946
14MU12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MU12A06R1XAGG3,,,,,,,,,
14MU12A06R1X,,0000-100094,,,555,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MU12A06R1XSAND,,,,,,,,,
14MU12A06R1X,,0000-100093,,,142,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MU12A06R1XSTONE DUST,,,,,,,,,
14MU12A06R1X,,0002-100020,,,0.930,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MU12A06R1XSBT CON-M,,,,,,,,,
14MU12A06R1X,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MU12A06R1XSBT PCA-8S,,,,,,,,,
14MU12A06R1X,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MU12A06R1XSBT JM-9,,,,,,,,,
14MU12A06XXX,,0000-000015,,,47,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MU12A06XXXFA,,,,,,,,,
14MU12A06XXX,,0000-100011,,,187,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MU12A06XXXSEMEN,,,,,,,,,
14MU12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MU12A06XXXWATER,,,,,,,,,
14MU12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MU12A06XXXAGG1,1,14MU12A06XXXAGG1,236.6,14MU12A06XXXAGG2,946.4,1183,20%,20%,237
14MU12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MU12A06XXXAGG2,1,14MU12A06XXXAGG1,236.6,14MU12A06XXXAGG2,946.4,1183,80%,80%,946
14MU12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MU12A06XXXAGG3,,,,,,,,,
14MU12A06XXX,,0000-100094,,,563,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MU12A06XXXSAND,,,,,,,,,
14MU12A06XXX,,0000-100093,,,143,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MU12A06XXXSTONE DUST,,,,,,,,,
14MU12A06XXX,,0002-100020,,,0.790,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MU12A06XXXSBT CON-M,,,,,,,,,
14MU12A06XXX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MU12A06XXXSBT PCA-8S,,,,,,,,,
14MU12A06XXX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MU12A06XXXSBT JM-9,,,,,,,,,
14MX12A06R1X,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MX12A06R1XFA,,,,,,,,,
14MX12A06R1X,,0000-100011,,,226,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MX12A06R1XSEMEN,,,,,,,,,
14MX12A06R1X,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MX12A06R1XWATER,,,,,,,,,
14MX12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MX12A06R1XAGG1,1,14MX12A06R1XAGG1,236.6,14MX12A06R1XAGG2,946.4,1183,20%,20%,237
14MX12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MX12A06R1XAGG2,1,14MX12A06R1XAGG1,236.6,14MX12A06R1XAGG2,946.4,1183,80%,80%,946
14MX12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MX12A06R1XAGG3,,,,,,,,,
14MX12A06R1X,,0000-100094,,,563,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MX12A06R1XSAND,,,,,,,,,
14MX12A06R1X,,0000-100093,,,143,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MX12A06R1XSTONE DUST,,,,,,,,,
14MX12A06R1X,,0002-100020,,,0.890,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MX12A06R1XSBT CON-M,,,,,,,,,
14MX12A06R1X,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MX12A06R1XSBT PCA-8S,,,,,,,,,
14MX12A06R1X,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MX12A06R1XSBT JM-9,,,,,,,,,
14MX12A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,14MX12A06XXXFA,,,,,,,,,
14MX12A06XXX,,0000-100011,,,223,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,14MX12A06XXXSEMEN,,,,,,,,,
14MX12A06XXX,,0000-100030,,,188,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,14MX12A06XXXWATER,,,,,,,,,
14MX12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,14MX12A06XXXAGG1,1,14MX12A06XXXAGG1,236.6,14MX12A06XXXAGG2,946.4,1183,20%,20%,237
14MX12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,14MX12A06XXXAGG2,1,14MX12A06XXXAGG1,236.6,14MX12A06XXXAGG2,946.4,1183,80%,80%,946
14MX12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,14MX12A06XXXAGG3,,,,,,,,,
14MX12A06XXX,,0000-100094,,,570,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,14MX12A06XXXSAND,,,,,,,,,
14MX12A06XXX,,0000-100093,,,145,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,14MX12A06XXXSTONE DUST,,,,,,,,,
14MX12A06XXX,,0002-100020,,,0.750,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,14MX12A06XXXSBT CON-M,,,,,,,,,
14MX12A06XXX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,14MX12A06XXXSBT PCA-8S,,,,,,,,,
14MX12A06XXX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,14MX12A06XXXSBT JM-9,,,,,,,,,
15FN12A06R1X,,0000-000015,,,57,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,15FN12A06R1XFA,,,,,,,,,
15FN12A06R1X,,0000-100011,,,170,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15FN12A06R1XSEMEN,,,,,,,,,
15FN12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15FN12A06R1XWATER,,,,,,,,,
15FN12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15FN12A06R1XAGG1,1,15FN12A06R1XAGG1,236.6,15FN12A06R1XAGG2,946.4,1183,20%,20%,237
15FN12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15FN12A06R1XAGG2,1,15FN12A06R1XAGG1,236.6,15FN12A06R1XAGG2,946.4,1183,80%,80%,946
15FN12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15FN12A06R1XAGG3,,,,,,,,,
15FN12A06R1X,,0000-100094,,,559,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15FN12A06R1XSAND,,,,,,,,,
15FN12A06R1X,,0000-100093,,,143,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15FN12A06R1XSTONE DUST,,,,,,,,,
15FN12A06R1X,,0002-100020,,,0.890,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,15FN12A06R1XSBT CON-M,,,,,,,,,
15FN12A06R1X,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,15FN12A06R1XSBT PCA-8S,,,,,,,,,
15FN12A06R1X,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,15FN12A06R1XSBT JM-9,,,,,,,,,
15FN12A06XXX,,0000-000015,,,56,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,15FN12A06XXXFA,,,,,,,,,
15FN12A06XXX,,0000-100011,,,168,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15FN12A06XXXSEMEN,,,,,,,,,
15FN12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15FN12A06XXXWATER,,,,,,,,,
15FN12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15FN12A06XXXAGG1,1,15FN12A06XXXAGG1,236.6,15FN12A06XXXAGG2,946.4,1183,20%,20%,237
15FN12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15FN12A06XXXAGG2,1,15FN12A06XXXAGG1,236.6,15FN12A06XXXAGG2,946.4,1183,80%,80%,946
15FN12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15FN12A06XXXAGG3,,,,,,,,,
15FN12A06XXX,,0000-100094,,,567,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15FN12A06XXXSAND,,,,,,,,,
15FN12A06XXX,,0000-100093,,,144,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15FN12A06XXXSTONE DUST,,,,,,,,,
15FN12A06XXX,,0002-100020,,,0.760,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,15FN12A06XXXSBT CON-M,,,,,,,,,
15FN12A06XXX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,15FN12A06XXXSBT PCA-8S,,,,,,,,,
15FN12A06XXX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,15FN12A06XXXSBT JM-9,,,,,,,,,
15FU12A06R1X,,0000-000015,,,45,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,15FU12A06R1XFA,,,,,,,,,
15FU12A06R1X,,0000-100011,,,178,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15FU12A06R1XSEMEN,,,,,,,,,
15FU12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15FU12A06R1XWATER,,,,,,,,,
15FU12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15FU12A06R1XAGG1,1,15FU12A06R1XAGG1,236.6,15FU12A06R1XAGG2,946.4,1183,20%,20%,237
15FU12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15FU12A06R1XAGG2,1,15FU12A06R1XAGG1,236.6,15FU12A06R1XAGG2,946.4,1183,80%,80%,946
15FU12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15FU12A06R1XAGG3,,,,,,,,,
15FU12A06R1X,,0000-100094,,,566,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15FU12A06R1XSAND,,,,,,,,,
15FU12A06R1X,,0000-100093,,,144,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15FU12A06R1XSTONE DUST,,,,,,,,,
15FU12A06R1X,,0002-100020,,,0.880,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,15FU12A06R1XSBT CON-M,,,,,,,,,
15FU12A06R1X,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,15FU12A06R1XSBT PCA-8S,,,,,,,,,
15FU12A06R1X,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,15FU12A06R1XSBT JM-9,,,,,,,,,
15FU12A06XXX,,0000-000015,,,44,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,15FU12A06XXXFA,,,,,,,,,
15FU12A06XXX,,0000-100011,,,176,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15FU12A06XXXSEMEN,,,,,,,,,
15FU12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15FU12A06XXXWATER,,,,,,,,,
15FU12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15FU12A06XXXAGG1,1,15FU12A06XXXAGG1,236.6,15FU12A06XXXAGG2,946.4,1183,20%,20%,237
15FU12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15FU12A06XXXAGG2,1,15FU12A06XXXAGG1,236.6,15FU12A06XXXAGG2,946.4,1183,80%,80%,946
15FU12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15FU12A06XXXAGG3,,,,,,,,,
15FU12A06XXX,,0000-100094,,,573,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15FU12A06XXXSAND,,,,,,,,,
15FU12A06XXX,,0000-100093,,,146,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15FU12A06XXXSTONE DUST,,,,,,,,,
15FU12A06XXX,,0002-100020,,,0.740,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,15FU12A06XXXSBT CON-M,,,,,,,,,
15FU12A06XXX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,15FU12A06XXXSBT PCA-8S,,,,,,,,,
15FU12A06XXX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,15FU12A06XXXSBT JM-9,,,,,,,,,
15PX12A06R1X,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,15PX12A06R1XFA,,,,,,,,,
